question,option_a,option_b,option_c,option_d,answer,category,difficulty
What is 81 + 83?,164,162,167,171,164,Quantitative,Hard
What is the square of 18?,325,329,324,323,324,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",L,N,M,O,M,Logical,Easy
Choose the synonym of 'benefit'.,weak,late,small,advantage,advantage,Verbal,Medium
"If 9 workers finish a task in 7 days, how many worker-days are needed?",61,68,63,65,63,Puzzle,Easy
What is 27 + 96?,126,130,123,121,123,Quantitative,Hard
What is the square of 4?,17,21,16,15,16,Quantitative,Medium
"Find the next letter in the series: D, E, F, ?",H,I,G,F,G,Logical,Medium
Choose the synonym of 'ancient'.,weak,old,small,late,old,Verbal,Easy
"If 6 workers finish a task in 9 days, how many worker-days are needed?",52,54,56,59,54,Puzzle,Hard
What is 77 + 66?,150,143,146,141,143,Quantitative,Hard
What is the square of 9?,82,81,80,86,81,Quantitative,Medium
"Find the next letter in the series: G, H, I, ?",K,L,I,J,J,Logical,Medium
Choose the synonym of 'bright'.,small,smart,weak,late,smart,Verbal,Hard
"If 2 workers finish a task in 8 days, how many worker-days are needed?",21,16,14,18,16,Puzzle,Hard
What is 17 + 39?,54,59,63,56,56,Quantitative,Easy
What is the square of 17?,289,294,288,290,289,Quantitative,Hard
"Find the next letter in the series: C, D, E, ?",H,E,F,G,F,Logical,Medium
Choose the synonym of 'rapid'.,fast,weak,small,late,fast,Verbal,Hard
"If 2 workers finish a task in 7 days, how many worker-days are needed?",12,19,14,16,14,Puzzle,Hard
What is 55 + 70?,123,132,125,128,125,Quantitative,Easy
What is the square of 20?,399,401,400,405,400,Quantitative,Hard
"Find the next letter in the series: E, F, G, ?",J,H,I,G,H,Logical,Medium
Choose the synonym of 'benefit'.,advantage,weak,late,small,advantage,Verbal,Medium
"If 9 workers finish a task in 10 days, how many worker-days are needed?",92,90,95,88,90,Puzzle,Hard
What is 34 + 93?,130,125,127,134,127,Quantitative,Medium
What is the square of 11?,126,120,122,121,121,Quantitative,Medium
"Find the next letter in the series: T, U, V, ?",V,W,X,Y,W,Logical,Hard
Choose the synonym of 'honest'.,truthful,small,late,weak,truthful,Verbal,Easy
"If 7 workers finish a task in 3 days, how many worker-days are needed?",21,26,19,23,21,Puzzle,Medium
What is 41 + 98?,146,137,139,142,139,Quantitative,Hard
What is the square of 7?,54,50,48,49,49,Quantitative,Medium
"Find the next letter in the series: P, Q, R, ?",S,U,T,R,S,Logical,Hard
Choose the synonym of 'bright'.,weak,small,late,smart,smart,Verbal,Hard
"If 5 workers finish a task in 8 days, how many worker-days are needed?",38,45,40,42,40,Puzzle,Hard
What is 58 + 72?,137,128,130,133,130,Quantitative,Easy
What is the square of 6?,41,37,35,36,36,Quantitative,Easy
"Find the next letter in the series: M, N, O, ?",O,P,R,Q,P,Logical,Easy
Choose the synonym of 'bright'.,weak,smart,small,late,smart,Verbal,Hard
"If 10 workers finish a task in 6 days, how many worker-days are needed?",62,65,58,60,60,Puzzle,Medium
What is 18 + 87?,105,108,112,103,105,Quantitative,Hard
What is the square of 5?,24,26,30,25,25,Quantitative,Medium
"Find the next letter in the series: F, G, H, ?",K,I,J,H,I,Logical,Hard
Choose the synonym of 'ancient'.,weak,late,old,small,old,Verbal,Hard
"If 4 workers finish a task in 10 days, how many worker-days are needed?",45,38,40,42,40,Puzzle,Medium
What is 91 + 86?,184,175,177,180,177,Quantitative,Easy
What is the square of 3?,10,8,14,9,9,Quantitative,Hard
"Find the next letter in the series: N, O, P, ?",S,Q,P,R,Q,Logical,Hard
Choose the synonym of 'bright'.,smart,small,late,weak,smart,Verbal,Hard
"If 4 workers finish a task in 3 days, how many worker-days are needed?",14,10,12,17,12,Puzzle,Medium
What is 53 + 53?,109,104,106,113,106,Quantitative,Medium
What is the square of 17?,290,294,289,288,289,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",L,M,N,O,M,Logical,Easy
Choose the synonym of 'honest'.,truthful,small,late,weak,truthful,Verbal,Hard
"If 7 workers finish a task in 5 days, how many worker-days are needed?",33,37,35,40,35,Puzzle,Hard
What is 39 + 10?,49,52,47,56,49,Quantitative,Medium
What is the square of 19?,362,360,366,361,361,Quantitative,Easy
"Find the next letter in the series: E, F, G, ?",H,J,I,G,H,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Easy
"If 4 workers finish a task in 3 days, how many worker-days are needed?",10,17,12,14,12,Puzzle,Hard
What is 74 + 28?,100,109,102,105,102,Quantitative,Easy
What is the square of 19?,360,361,362,366,361,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",Q,R,P,O,P,Logical,Medium
Choose the synonym of 'rapid'.,weak,fast,small,late,fast,Verbal,Easy
"If 5 workers finish a task in 8 days, how many worker-days are needed?",45,42,40,38,40,Puzzle,Easy
What is 55 + 69?,127,122,131,124,124,Quantitative,Easy
What is the square of 3?,10,14,9,8,9,Quantitative,Hard
"Find the next letter in the series: T, U, V, ?",Y,X,W,V,W,Logical,Hard
Choose the synonym of 'benefit'.,late,advantage,small,weak,advantage,Verbal,Easy
"If 6 workers finish a task in 3 days, how many worker-days are needed?",18,16,23,20,18,Puzzle,Easy
What is 90 + 88?,178,176,185,181,178,Quantitative,Hard
What is the square of 18?,329,324,323,325,324,Quantitative,Hard
"Find the next letter in the series: I, J, K, ?",K,N,M,L,L,Logical,Easy
Choose the synonym of 'honest'.,late,weak,small,truthful,truthful,Verbal,Easy
"If 3 workers finish a task in 4 days, how many worker-days are needed?",10,14,17,12,12,Puzzle,Hard
What is 43 + 47?,97,90,88,93,90,Quantitative,Easy
What is the square of 19?,366,360,362,361,361,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",W,X,U,V,V,Logical,Easy
Choose the synonym of 'ancient'.,weak,late,small,old,old,Verbal,Hard
"If 4 workers finish a task in 7 days, how many worker-days are needed?",28,26,30,33,28,Puzzle,Hard
What is 74 + 22?,99,94,103,96,96,Quantitative,Hard
What is the square of 15?,230,225,224,226,225,Quantitative,Easy
"Find the next letter in the series: H, I, J, ?",L,J,M,K,K,Logical,Easy
Choose the synonym of 'benefit'.,advantage,weak,small,late,advantage,Verbal,Easy
"If 3 workers finish a task in 10 days, how many worker-days are needed?",30,35,28,32,30,Puzzle,Hard
What is 10 + 91?,99,101,108,104,101,Quantitative,Medium
What is the square of 20?,400,405,399,401,400,Quantitative,Hard
"Find the next letter in the series: S, T, U, ?",U,V,W,X,V,Logical,Hard
Choose the synonym of 'ancient'.,late,small,old,weak,old,Verbal,Medium
"If 10 workers finish a task in 9 days, how many worker-days are needed?",90,95,88,92,90,Puzzle,Medium
What is 60 + 14?,72,74,77,81,74,Quantitative,Medium
What is the square of 18?,329,323,325,324,324,Quantitative,Medium
"Find the next letter in the series: M, N, O, ?",O,R,Q,P,P,Logical,Easy
Choose the synonym of 'bright'.,late,weak,smart,small,smart,Verbal,Hard
"If 5 workers finish a task in 4 days, how many worker-days are needed?",20,22,25,18,20,Puzzle,Medium
What is 28 + 63?,89,91,94,98,91,Quantitative,Easy
What is the square of 13?,174,168,170,169,169,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",U,X,W,V,V,Logical,Hard
Choose the synonym of 'benefit'.,weak,late,small,advantage,advantage,Verbal,Medium
"If 2 workers finish a task in 7 days, how many worker-days are needed?",12,14,16,19,14,Puzzle,Easy
What is 98 + 53?,149,151,158,154,151,Quantitative,Easy
What is the square of 5?,24,25,26,30,25,Quantitative,Hard
"Find the next letter in the series: H, I, J, ?",J,M,L,K,K,Logical,Medium
Choose the synonym of 'bright'.,smart,small,weak,late,smart,Verbal,Hard
"If 4 workers finish a task in 7 days, how many worker-days are needed?",30,28,33,26,28,Puzzle,Easy
What is 79 + 88?,167,165,170,174,167,Quantitative,Easy
What is the square of 7?,54,50,48,49,49,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",P,O,N,Q,O,Logical,Hard
Choose the synonym of 'bright'.,late,weak,small,smart,smart,Verbal,Hard
"If 5 workers finish a task in 6 days, how many worker-days are needed?",30,35,28,32,30,Puzzle,Medium
What is 71 + 75?,153,146,144,149,146,Quantitative,Hard
What is the square of 11?,120,121,126,122,121,Quantitative,Easy
"Find the next letter in the series: K, L, M, ?",M,N,P,O,N,Logical,Easy
Choose the synonym of 'benefit'.,late,advantage,weak,small,advantage,Verbal,Easy
"If 8 workers finish a task in 6 days, how many worker-days are needed?",50,53,46,48,48,Puzzle,Easy
What is 62 + 97?,157,166,159,162,159,Quantitative,Medium
What is the square of 10?,99,105,101,100,100,Quantitative,Easy
"Find the next letter in the series: O, P, Q, ?",Q,S,T,R,R,Logical,Hard
Choose the synonym of 'ancient'.,old,small,weak,late,old,Verbal,Hard
"If 10 workers finish a task in 8 days, how many worker-days are needed?",85,78,82,80,80,Puzzle,Hard
What is 62 + 33?,95,102,93,98,95,Quantitative,Hard
What is the square of 3?,9,10,8,14,9,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",G,D,E,F,E,Logical,Easy
Choose the synonym of 'rapid'.,small,fast,weak,late,fast,Verbal,Easy
"If 6 workers finish a task in 8 days, how many worker-days are needed?",46,53,50,48,48,Puzzle,Easy
What is 89 + 50?,139,137,146,142,139,Quantitative,Hard
What is the square of 3?,10,9,8,14,9,Quantitative,Hard
"Find the next letter in the series: D, E, F, ?",I,F,H,G,G,Logical,Hard
Choose the synonym of 'rapid'.,small,weak,fast,late,fast,Verbal,Hard
"If 4 workers finish a task in 5 days, how many worker-days are needed?",25,20,22,18,20,Puzzle,Hard
What is 55 + 32?,94,87,90,85,87,Quantitative,Hard
What is the square of 12?,145,144,149,143,144,Quantitative,Medium
"Find the next letter in the series: B, C, D, ?",D,G,E,F,E,Logical,Easy
Choose the synonym of 'bright'.,weak,smart,late,small,smart,Verbal,Medium
"If 6 workers finish a task in 2 days, how many worker-days are needed?",14,12,17,10,12,Puzzle,Medium
What is 99 + 34?,136,131,140,133,133,Quantitative,Hard
What is the square of 15?,226,224,230,225,225,Quantitative,Hard
"Find the next letter in the series: I, J, K, ?",L,K,M,N,L,Logical,Easy
Choose the synonym of 'bright'.,weak,late,smart,small,smart,Verbal,Easy
"If 5 workers finish a task in 5 days, how many worker-days are needed?",30,23,27,25,25,Puzzle,Hard
What is 84 + 33?,124,115,117,120,117,Quantitative,Hard
What is the square of 17?,288,289,294,290,289,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",T,S,Q,R,R,Logical,Hard
Choose the synonym of 'rapid'.,fast,small,late,weak,fast,Verbal,Hard
"If 5 workers finish a task in 5 days, how many worker-days are needed?",30,23,25,27,25,Puzzle,Hard
What is 45 + 43?,91,88,95,86,88,Quantitative,Medium
What is the square of 19?,361,366,362,360,361,Quantitative,Medium
"Find the next letter in the series: J, K, L, ?",O,L,M,N,M,Logical,Easy
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Medium
"If 2 workers finish a task in 9 days, how many worker-days are needed?",20,16,23,18,18,Puzzle,Medium
What is 31 + 78?,112,107,109,116,109,Quantitative,Hard
What is the square of 20?,401,399,405,400,400,Quantitative,Easy
"Find the next letter in the series: P, Q, R, ?",R,T,U,S,S,Logical,Easy
Choose the synonym of 'rapid'.,fast,small,weak,late,fast,Verbal,Medium
"If 3 workers finish a task in 3 days, how many worker-days are needed?",7,9,14,11,9,Puzzle,Medium
What is 50 + 44?,97,92,94,101,94,Quantitative,Hard
What is the square of 4?,15,17,21,16,16,Quantitative,Medium
"Find the next letter in the series: A, B, C, ?",E,C,D,F,D,Logical,Easy
Choose the synonym of 'benefit'.,advantage,small,late,weak,advantage,Verbal,Medium
"If 7 workers finish a task in 5 days, how many worker-days are needed?",35,37,33,40,35,Puzzle,Easy
What is 42 + 53?,98,95,102,93,95,Quantitative,Hard
What is the square of 17?,289,288,294,290,289,Quantitative,Easy
"Find the next letter in the series: I, J, K, ?",N,M,L,K,L,Logical,Easy
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Medium
"If 3 workers finish a task in 6 days, how many worker-days are needed?",23,16,18,20,18,Puzzle,Medium
What is 84 + 55?,146,137,142,139,139,Quantitative,Hard
What is the square of 10?,105,101,100,99,100,Quantitative,Medium
"Find the next letter in the series: L, M, N, ?",O,Q,N,P,O,Logical,Medium
Choose the synonym of 'ancient'.,old,weak,small,late,old,Verbal,Easy
"If 9 workers finish a task in 5 days, how many worker-days are needed?",50,47,45,43,45,Puzzle,Medium
What is 73 + 73?,149,146,153,144,146,Quantitative,Hard
What is the square of 14?,197,201,195,196,196,Quantitative,Medium
"Find the next letter in the series: C, D, E, ?",G,E,H,F,F,Logical,Easy
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Medium
"If 6 workers finish a task in 5 days, how many worker-days are needed?",32,30,35,28,30,Puzzle,Hard
What is 68 + 12?,87,83,80,78,80,Quantitative,Easy
What is the square of 20?,401,405,400,399,400,Quantitative,Easy
"Find the next letter in the series: S, T, U, ?",X,U,V,W,V,Logical,Easy
Choose the synonym of 'ancient'.,small,old,late,weak,old,Verbal,Medium
"If 5 workers finish a task in 8 days, how many worker-days are needed?",38,40,45,42,40,Puzzle,Easy
What is 36 + 78?,112,121,114,117,114,Quantitative,Easy
What is the square of 8?,69,63,65,64,64,Quantitative,Easy
"Find the next letter in the series: R, S, T, ?",W,T,U,V,U,Logical,Hard
Choose the synonym of 'ancient'.,late,old,small,weak,old,Verbal,Medium
"If 9 workers finish a task in 7 days, how many worker-days are needed?",65,63,61,68,63,Puzzle,Medium
What is 74 + 98?,170,172,179,175,172,Quantitative,Medium
What is the square of 3?,9,8,14,10,9,Quantitative,Medium
"Find the next letter in the series: O, P, Q, ?",R,S,T,Q,R,Logical,Medium
Choose the synonym of 'honest'.,truthful,late,weak,small,truthful,Verbal,Hard
"If 5 workers finish a task in 2 days, how many worker-days are needed?",15,10,8,12,10,Puzzle,Easy
What is 53 + 52?,108,112,103,105,105,Quantitative,Easy
What is the square of 8?,69,63,64,65,64,Quantitative,Easy
"Find the next letter in the series: A, B, C, ?",E,D,C,F,D,Logical,Hard
Choose the synonym of 'benefit'.,small,weak,advantage,late,advantage,Verbal,Easy
"If 7 workers finish a task in 6 days, how many worker-days are needed?",47,40,42,44,42,Puzzle,Easy
What is 15 + 64?,79,86,82,77,79,Quantitative,Medium
What is the square of 15?,230,226,224,225,225,Quantitative,Medium
"Find the next letter in the series: K, L, M, ?",O,N,M,P,N,Logical,Easy
Choose the synonym of 'rapid'.,weak,late,small,fast,fast,Verbal,Medium
"If 2 workers finish a task in 2 days, how many worker-days are needed?",4,9,2,6,4,Puzzle,Hard
What is 37 + 20?,55,60,64,57,57,Quantitative,Hard
What is the square of 5?,26,25,24,30,25,Quantitative,Medium
"Find the next letter in the series: H, I, J, ?",M,L,K,J,K,Logical,Easy
Choose the synonym of 'bright'.,late,small,weak,smart,smart,Verbal,Easy
"If 4 workers finish a task in 8 days, how many worker-days are needed?",34,37,32,30,32,Puzzle,Medium
What is 95 + 49?,142,147,144,151,144,Quantitative,Easy
What is the square of 5?,30,24,25,26,25,Quantitative,Easy
"Find the next letter in the series: C, D, E, ?",G,E,H,F,F,Logical,Easy
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Easy
"If 7 workers finish a task in 2 days, how many worker-days are needed?",14,19,12,16,14,Puzzle,Medium
What is 46 + 90?,139,134,143,136,136,Quantitative,Easy
What is the square of 20?,399,405,401,400,400,Quantitative,Easy
"Find the next letter in the series: L, M, N, ?",N,Q,P,O,O,Logical,Hard
Choose the synonym of 'rapid'.,fast,late,small,weak,fast,Verbal,Medium
"If 8 workers finish a task in 8 days, how many worker-days are needed?",66,62,69,64,64,Puzzle,Easy
What is 27 + 83?,113,108,110,117,110,Quantitative,Hard
What is the square of 16?,256,255,257,261,256,Quantitative,Hard
"Find the next letter in the series: K, L, M, ?",P,M,N,O,N,Logical,Medium
Choose the synonym of 'benefit'.,weak,late,small,advantage,advantage,Verbal,Medium
"If 7 workers finish a task in 8 days, how many worker-days are needed?",58,54,61,56,56,Puzzle,Easy
What is 43 + 94?,144,140,135,137,137,Quantitative,Easy
What is the square of 20?,399,400,405,401,400,Quantitative,Hard
"Find the next letter in the series: Q, R, S, ?",T,V,S,U,T,Logical,Hard
Choose the synonym of 'ancient'.,small,late,old,weak,old,Verbal,Medium
"If 3 workers finish a task in 10 days, how many worker-days are needed?",30,28,35,32,30,Puzzle,Medium
What is 87 + 73?,167,163,160,158,160,Quantitative,Hard
What is the square of 6?,41,37,36,35,36,Quantitative,Easy
"Find the next letter in the series: G, H, I, ?",J,I,K,L,J,Logical,Easy
Choose the synonym of 'bright'.,late,smart,weak,small,smart,Verbal,Easy
"If 2 workers finish a task in 7 days, how many worker-days are needed?",16,12,14,19,14,Puzzle,Hard
What is 22 + 79?,104,101,99,108,101,Quantitative,Medium
What is the square of 10?,99,101,100,105,100,Quantitative,Medium
"Find the next letter in the series: S, T, U, ?",V,W,U,X,V,Logical,Medium
Choose the synonym of 'ancient'.,weak,small,late,old,old,Verbal,Easy
"If 10 workers finish a task in 2 days, how many worker-days are needed?",25,22,20,18,20,Puzzle,Medium
What is 37 + 96?,131,136,140,133,133,Quantitative,Medium
What is the square of 20?,399,405,400,401,400,Quantitative,Hard
"Find the next letter in the series: J, K, L, ?",M,O,N,L,M,Logical,Easy
Choose the synonym of 'rapid'.,weak,small,late,fast,fast,Verbal,Hard
"If 5 workers finish a task in 9 days, how many worker-days are needed?",43,50,47,45,45,Puzzle,Medium
